283,3,0,1,1,28.7,31.82,42,0.0,60,223,2012,9,13,13
24,1,0,1,1,4.1,9.09,68,0.0,1,23,2011,2,11,6
47,4,0,1,2,23.78,27.275,88,12.998,2,45,2011,10,13,23
286,3,0,1,2,28.7,33.335,74,12.998,41,245,2011,8,4,20
321,1,0,0,2,18.04,21.97,88,6.0032,104,217,2012,3,17,9
41,3,0,1,1,26.24,28.79,89,0.0,5,36,2012,7,11,5
90,1,0,1,1,22.96,26.515,21,43.9989,19,71,2011,2,14,15
286,2,0,1,1,26.24,30.305,73,11.0014,33,253,2012,5,16,22
615,4,0,0,1,20.5,24.24,36,12.998,251,364,2012,10,13,15
72,1,0,0,2,18.04,21.97,72,22.0028,12,60,2011,3,5,21
43,3,0,1,1,28.7,33.335,74,12.998,11,32,2012,8,3,1
316,2,0,0,1,30.34,32.575,40,12.998,105,211,2012,6,9,21
428,2,0,0,1,25.42,31.06,57,16.9979,150,278,2012,5,13,11
83,4,1,0,1,12.3,15.15,45,11.0014,4,79,2011,11,11,21
310,1,0,1,2,18.86,22.725,59,11.0014,50,260,2011,3,17,18
170,3,0,1,1,31.16,33.335,33,11.0014,61,109,2011,7,1,10
256,4,0,0,3,14.76,17.425,81,11.0014,61,195,2011,10,2,14
120,2,0,1,2,16.4,20.455,82,7.0015,4,116,2012,4,19,6
385,2,0,1,2,19.68,23.485,82,7.0015,18,367,2012,5,7,7
26,1,0,0,3,10.66,12.88,81,12.998,2,24,2012,2,11,2
525,2,0,1,1,30.34,32.575,22,26.0027,74,451,2011,6,2,18
74,1,0,1,2,9.02,11.365,87,8.9981,5,69,2011,2,1,20
141,3,0,1,1,32.8,37.88,55,6.0032,42,99,2011,7,18,11
4,1,0,1,1,13.12,15.91,57,12.998,3,1,2011,2,17,4
194,1,0,0,1,18.86,22.725,38,26.0027,74,120,2011,3,13,12
161,1,0,1,3,9.84,12.88,87,7.0015,3,158,2012,2,8,19
357,1,0,0,1,13.12,15.15,29,19.0012,89,268,2012,3,10,13
207,3,0,0,1,31.16,36.365,70,8.9981,58,149,2012,7,8,21
8,1,0,0,1,9.84,12.12,65,11.0014,0,8,2011,2,6,7
55,4,0,0,1,10.66,15.15,87,0.0,7,48,2011,12,4,8
112,4,0,1,1,9.84,12.88,75,6.0032,3,109,2012,12,19,6
12,1,0,1,1,7.38,10.605,55,7.0015,1,11,2011,1,3,23
222,3,0,1,1,32.8,34.85,27,0.0,55,167,2011,8,12,12
139,4,0,1,2,12.3,14.395,49,19.0012,4,135,2012,11,5,6
308,3,1,0,2,28.7,33.335,74,11.0014,101,207,2011,9,5,11
62,1,0,1,1,12.3,14.395,28,12.998,10,52,2011,1,5,14
149,4,0,1,1,9.02,11.365,69,8.9981,6,143,2012,11,6,6
59,2,0,1,1,21.32,25.0,94,6.0032,10,49,2011,5,18,23
420,1,0,1,2,9.02,12.88,55,6.0032,13,407,2012,1,9,8
568,4,0,1,2,15.58,19.695,66,0.0,29,539,2012,12,7,17
390,3,0,1,1,28.7,31.82,45,11.0014,29,361,2011,8,11,8
233,2,0,1,1,37.72,43.94,40,15.0013,34,199,2011,6,8,16
187,2,0,1,1,25.42,30.305,69,15.0013,40,147,2011,5,2,12
43,1,0,1,2,11.48,15.15,65,6.0032,4,39,2012,2,10,0
84,3,0,0,2,22.14,25.76,68,6.0032,9,75,2011,9,18,22
26,3,1,0,1,26.24,29.545,78,0.0,13,13,2011,7,4,3
25,2,0,1,3,17.22,21.21,77,0.0,5,20,2012,4,19,0
6,3,0,0,1,18.04,21.97,77,15.0013,1,5,2011,9,18,5
134,4,0,1,2,22.96,26.515,64,12.998,18,116,2011,11,15,11
110,2,0,1,3,18.86,22.725,51,7.0015,15,95,2012,4,18,12
560,3,0,1,1,36.9,40.15,33,16.9979,106,454,2012,7,6,18
138,3,0,1,1,33.62,39.395,56,22.0028,32,106,2011,7,18,14
7,4,0,0,1,8.2,10.605,80,8.9981,0,7,2011,11,12,4
6,2,0,1,1,27.88,31.82,69,11.0014,3,3,2011,6,10,3
171,3,0,0,3,23.78,27.275,83,12.998,52,119,2012,9,8,17
95,2,0,0,1,25.42,28.79,83,7.0015,15,80,2011,6,18,1
581,3,0,1,1,31.98,34.85,43,8.9981,71,510,2012,7,2,19
102,2,0,0,2,20.5,24.24,88,8.9981,24,78,2011,5,14,0
197,4,0,1,1,22.14,25.76,49,0.0,30,167,2011,10,7,20
50,3,0,0,1,26.24,30.305,73,11.0014,20,30,2011,7,17,7
201,3,0,1,1,34.44,36.365,28,19.9995,67,134,2012,7,2,11
165,4,0,1,2,14.76,18.18,93,6.0032,15,150,2012,12,7,22
483,2,0,1,1,25.42,31.06,41,12.998,91,392,2012,5,18,19
141,2,0,0,1,21.32,25.0,36,12.998,44,97,2011,4,17,20
10,4,1,0,1,13.94,17.425,81,7.0015,2,8,2012,10,8,3
513,3,0,1,1,30.34,34.85,66,11.0014,65,448,2012,8,1,20
369,3,0,0,2,22.96,26.515,64,11.0014,134,235,2011,9,18,16
181,1,0,0,1,12.3,14.395,52,16.9979,10,171,2012,2,5,18
170,1,0,1,1,16.4,20.455,43,19.0012,11,159,2012,2,15,13
117,4,0,1,1,18.04,21.97,82,7.0015,5,112,2011,10,5,6
2,1,0,0,3,17.22,21.21,77,19.9995,0,2,2011,1,2,6
210,1,0,1,1,8.2,9.85,51,16.9979,20,190,2011,1,7,8
191,3,0,0,1,24.6,31.06,56,7.0015,43,148,2012,9,16,21
10,2,0,0,3,16.4,20.455,82,22.0028,1,9,2011,4,16,6
35,3,0,0,1,20.5,24.24,72,0.0,9,26,2012,9,16,6
6,3,0,0,2,26.24,28.03,94,7.0015,2,4,2011,8,14,6
533,2,0,1,1,22.96,26.515,26,26.0027,66,467,2011,5,5,17
